Ingredient,impact_factor_final,impact_factor_name_final,impact_value_final,impact_unit_final,ref_amount_final,ref_unit_final
distilled white vinegar,,,,,,
"blood orange, juice of",,,,,,
smoked trout fillet,,,,,,
turkey broth,,,,,,
dessert pear,,,,,,
orange spice tea bag,,,,,,
eel,,,,,,
whole trout,2609af2f-696e-4670-9b27-602bc3144fde_8349c9d1-7a60-46f6-98d8-ec0f48ae5310_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for trout,2.405581457,kg,1,kg
garlic flake,,,,,,
piquillo pepper,,,,,,
cantal cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
rome apple,05ea603a-801e-4a21-bff6-30472d63b1a1_1c819f15-1202-4fa9-8ef9-72196c2dfb85_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for apple,0.319430888,kg,1,kg
demi-glace,,,,,,
chocolate whey protein powder,,,,,,
parsley,,,,,,
san marzano tomato,d5755bcc-4d60-42d3-ab28-35e852627be3_03cc9df9-29e5-4ee0-8bff-a70999caffbf_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tomato, processing grade",0.237464718,kg,1,kg
buckwheat noodle,,,,,,
cool whip topping,564e1504-faaa-4ffb-a823-3351653311dc_e205cf62-396d-488a-8e2f-71344bbee1aa_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cream, from cow milk",2.52819913,kg,1,kg
assorted fresh vegetable,,,,,,
garbanzo bean,,,,,,
evaporated skim milk,5ff3fb28-4350-4a37-9f1d-781c8c92a6f2_78b3da46-af34-4517-a952-cb828f76e1c2_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for evaporation of milk,0.020063374,kg,1,kg
almond toffee bit,,,,,,
tripe,,,,,,
coffee yogurt,,,,,,
honey graham cracker,,,,,,
pawpaw,95717046-a131-49b3-b14b-b938653461dc_7f758dea-2473-4400-a8ed-349bc95e2deb_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for papaya,0.272742405,kg,1,kg
tequila,,,,,,
plain bar,,,,,,
besan,,,,,,
grilled chicken,,,,,,
yoshida sauce,,,,,,
refrigerated white chocolate chip macadamia nut cookie dough,,,,,,
turkey breast cutlet,,,,,,
chili-garlic sauce,,,,,,
star anise,,,,,,
pineapple slices in syrup,,,,,,
ature dark chocolate chip,,,,,,
head of garlic,,,,,,
lightly sweetened whipped cream,,,,,,
pomegranate juice,,,,,,
date sugar,,,,,,
garlic and cheese crouton,,,,,,
paprika paste,,,,,,
apple,05ea603a-801e-4a21-bff6-30472d63b1a1_1c819f15-1202-4fa9-8ef9-72196c2dfb85_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for apple,0.319430888,kg,1,kg
gruyere cheese,,,,,,
marlin steak,,,,,,
pisco,,,,,,
instant pistachio pudding mix,,,,,,
strong coffee,ac979b92-94ef-4228-a6dd-b4f03f563261_42193bba-bf84-4490-8c69-b6e23048e73d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for coffee, green bean",7.107818888,kg,1,kg
evaporated cane juice,,,,,,
poppy seed roll,,,,,,
hard-shelled clam,,,,,,
dried rosemary,,,,,,
dry whole grain breadcrumb,a5fc7f30-04ba-49c7-a292-394a21989a5c_dca5d4c8-0e53-4f11-9df5-418e30a0e49f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for breadcrumbs,1.100980617,kg,1,kg
barley,51572e03-1857-42ec-9529-7f8c29d49594_3f6dada9-2497-4e1c-9e1b-eabafa6920f8_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for barley grain,0.520886683,kg,1,kg
chocolate leaf,,,,,,
chocolate instant pudding and pie filling mix,,,,,,
fresh sweet basil leaf,,,,,,
canned anchovy fillet,,,,,,
flower pot,,,,,,
nilla wafer crumb,,,,,,
dory fillet,,,,,,
15 bean mix,,,,,,
ponzu sauce,,,,,,
pork & bean,,,,,,
fruit pectin,,,,,,
squash blossom,,,,,,
barberry,,,,,,
cooked brown rice,,,,,,
honey ham,,,,,,
walleyed pike fillet,,,,,,
coriander root,f4308d96-2bdf-4b0a-8196-7c171c5ebaaf_22cdbdf8-05c7-4410-9eff-7b12ff1877b3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for coriander,0.205071438,kg,1,kg
hazelnut nondairy liquid coffee creamer,,,,,,
pigs tail,,,,,,
tap water,1777d5da-1048-44bf-be57-5d8efdcd419e_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for tap water,7.66E-05,kg,1,kg
collard green,,,,,,
egg roll,,,,,,
nori sushi sheet,,,,,,
dried red pepper,,,,,,
papaya,95717046-a131-49b3-b14b-b938653461dc_7f758dea-2473-4400-a8ed-349bc95e2deb_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for papaya,0.272742405,kg,1,kg
brown rice miso,,,,,,
alum,,,,,,
moo shu pancake,,,,,,
grape gelatin,,,,,,
frozen butternut squash,,,,,,
tartaric,,,,,,
lollipop,,,,,,
canned chicken,,,,,,
waffle,,,,,,
italian pastina,,,,,,
blueberry vodka,,,,,,
lamb neck chop,1cd0307c-4575-4e53-9299-a81c76f4eee9_2a80aed2-53c0-4eaa-bae1-829394a7cb32_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sheep for slaughtering, live weight",8.700476897,kg,1,kg
crushed unsweetened pineapple,,,,,,
fiddlehead,,,,,,
veal chop,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
pizza dough mix,,,,,,
tomatillo,,,,,,
sure-jell,,,,,,
tomatoes in puree,,,,,,
chocolate syrup,,,,,,
prune juice,,,,,,
meatloaf,,,,,,
creme-filled chocolate sandwich cookies,,,,,,
cake crumb,,,,,,
vegetarian bouillon powder,,,,,,
whole wheat flmy,0090bce8-3e50-446d-af0b-9cc5dc427b9a_c7b1f264-abe2-47c4-8fcf-db3229228485_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for wheat flour,0.739714579,kg,1,kg
red wine vinegar,,,,,,
golden caster sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
veal scallopini,,,,,,
boboli whole wheat pizza crust,,,,,,
chili flake,,,,,,
blueberries in light syrup,,,,,,
clove,,,,,,
pineapple topping,,,,,,
cholesterol-free egg substitute,,,,,,
frozen petits poi,,,,,,
vegetable seasoning,,,,,,
frozen vegetable,,,,,,
"tangerine, zest of",,,,,,
vanilla pudding,,,,,,
green tomato relish,,,,,,
trix cereal,,,,,,
plain sweet biscuit,,,,,,
frozen dinner roll,,,,,,
zucchini,bb6521f4-6b41-4f41-bdda-32a31a194892_46df2ebd-bd0c-486b-abd3-cfe904195502_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for zucchini,0.315402265,kg,1,kg
center cut pork chop,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
black tea leaf,3f6d0090-fb8d-4637-a65f-87f975facb4e_1942f3d1-fad9-43da-a657-d5920c804cd6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tea, dried",2.029453679,kg,1,kg
rice powder,,,,,,
chicken stock cube,,,,,,
toasted sesame oil,,,,,,
fresh meyer lemon juice,,,,,,
boar,94630534-5fdd-4ab5-b65d-9fad003636d1_b458d873-946b-468f-b6bf-cdfdf6e0164f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for swine for slaughtering, live weight",8.271383352,kg,1,kg
smirnoff no.21 vodka,,,,,,
ro-tel tomato,,,,,,
palm oil,2c2fed02-fe60-4f82-8e63-73803fd1caa8_17e163ef-4e16-4368-83f3-9d6faaf6ae3b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for palm oil, crude",2.411482997,kg,1,kg
dried lavender,,,,,,
portuguese bread,,,,,,
cajun-louisiana seasoning blend,,,,,,
whole wheat self-rising flmy,,,,,,
baking chocolate,,,,,,
avocado,b79977ee-975b-4534-a80e-f110c39286c5_dea57f7f-311e-4659-acde-df219917df6c_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for avocado,0.752396518,kg,1,kg
malt vinegar,,,,,,
frozen pitted tart cherry,,,,,,
diet cola,,,,,,
onion hamburger bun,,,,,,
framboise liqueur,,,,,,
corn chip,,,,,,
mashed sweet potato,,,,,,
crisp salad green,,,,,,
ohydrate baking mix,,,,,,
pork shoulder steak,94630534-5fdd-4ab5-b65d-9fad003636d1_b458d873-946b-468f-b6bf-cdfdf6e0164f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for swine for slaughtering, live weight",8.271383352,kg,1,kg
canned mandarin orange,,,,,,
green chili powder,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
smoked gouda cheese,,,,,,
millet,bdfb5777-b59f-4d93-bfab-de6313378d55_df2b8e39-d691-4f6b-8c9c-4c7a737d0b0b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for millet,0.652581799,kg,1,kg
pistum,,,,,,
canned pineapple juice,,,,,,
ground flax seed,,,,,,
fresh thyme,,,,,,
haricot bean,f9deb5af-6149-5316-b86f-c9953093db9e_7a49bec2-44cb-5445-94f2-10f0a1db868a_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for navy bean,1.226712928,kg,1,kg
hard-boiled egg yolk,,,,,,
chocolate protein powder,,,,,,
butter cookies,,,,,,
frozen tater tot,,,,,,
fine matzo meal,,,,,,
fresh udon noodle,,,,,,
long grain and wild rice blend,,,,,,
unsweetened flaked coconut,,,,,,
chinese white rice vinegar,,,,,,
red baking apple,05ea603a-801e-4a21-bff6-30472d63b1a1_1c819f15-1202-4fa9-8ef9-72196c2dfb85_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for apple,0.319430888,kg,1,kg
aromatic bitter,,,,,,
tzatziki,,,,,,
karo light corn syrup,,,,,,
sloe gin,,,,,,
madras curry powder,,,,,,
cavatelli,,,,,,
fresh sweet potato,,,,,,
meatball,,,,,,
balsamic glaze,,,,,,
american cheese slice,,,,,,
heads of cabbage,649d729a-040d-4ce7-b44e-97d981db3e32_75db30ea-bc22-4827-9784-07ac2523b3d6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for cabbage white,0.415182732,kg,1,kg
refrigerated orange sweet roll dough,,,,,,
strawberry cream liqueur,,,,,,
steel cut oat,18a75664-a503-4b99-87be-e11557cb81f1_396098c0-2dd0-4987-84e3-cd12a3b521b7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for oat grain,0.726827058,kg,1,kg
chopped pimiento,,,,,,
chicken noodle soup,,,,,,
cookies,,,,,,
hard candy,,,,,,
canned asparagu,,,,,,
jelly crystal,,,,,,
marshmallow,,,,,,
dry 18 bean soup mix,,,,,,
mixed candied fruit,,,,,,
bacon,,,,,,
cranberry juice,,,,,,
worcestershire sauce,,,,,,
braeburn apple,05ea603a-801e-4a21-bff6-30472d63b1a1_1c819f15-1202-4fa9-8ef9-72196c2dfb85_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for apple,0.319430888,kg,1,kg
frozen pie crust,,,,,,
processed swiss cheese,,,,,,
taco seasoning,,,,,,
kipfler potato,c4a9f9f1-435c-47d4-9842-fd053c365d69_155158d0-d566-487e-bfae-fff465d5dc52_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for potato,0.336006274,kg,1,kg
sweetcorn,d28caba3-32e4-4896-8cef-38a45a6adb99_d86548c8-a433-44a0-91ba-073c2227b627_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sweet corn,0.276942777,kg,1,kg
apricot half,,,,,,
instant coffee creamer,,,,,,
wakame seaweed,,,,,,
honey dijon mustard,,,,,,
lavender leaf,,,,,,
's spicy seasoning,,,,,,
white wine vinegar,,,,,,
lillet blanc,,,,,,
strong hot tea,3f6d0090-fb8d-4637-a65f-87f975facb4e_1942f3d1-fad9-43da-a657-d5920c804cd6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tea, dried",2.029453679,kg,1,kg
chicken breast tender,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
fresh edible flower,,,,,,
oatmeal squares cereal,,,,,,
toblerone chocolate bar,,,,,,
kidney bean,bfbe9ff6-91ed-571f-8b62-77f66bc6b34e_3038e290-ab4f-5049-94ff-a87bdbde106b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for red kidney bean,1.591019917,kg,1,kg
baby calamarus,,,,,,
finely shredded four cheese,,,,,,
herbsaint,,,,,,
cajun spice,,,,,,
canned deviled ham,,,,,,
long grain white rice,cf6e8d40-9765-40c3-82f6-cafce5d9f192_922db745-4df5-4b82-bbb6-98e81e4007d1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for rice, non-basmati",1.403095628,kg,1,kg
vegetable,,,,,,
milk chocolate kis,,,,,,
tahini sauce,,,,,,
leafy green,,,,,,
diet ginger ale,,,,,,
delicata squash,,,,,,
szechuan hot bean sauce,,,,,,
frozen pink lemonade concentrate,,,,,,
batter frying mix,,,,,,
baker's unsweetened chocolate square,,,,,,
soup stock,,,,,,
cooked oatmeal,,,,,,
condensed vegetable beef soup,,,,,,
kahlua,,,,,,
sirloin beef,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
steak fillet,,,,,,
pork skin,94630534-5fdd-4ab5-b65d-9fad003636d1_b458d873-946b-468f-b6bf-cdfdf6e0164f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for swine for slaughtering, live weight",8.271383352,kg,1,kg
lemon vinaigrette,,,,,,
meyer lemon,abbb1ebb-8443-4b7f-a40b-c56b357dd924_9891d347-28f8-434d-896a-84a19a4c68a6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lemon,0.319866608,kg,1,kg
khoya,,,,,,
barbecue sauce,,,,,,
soymilk powder,,,,,,
banana bread,,,,,,
apricot brandy,,,,,,
whipped topping,,,,,,
cantaloupe,14da881e-bb74-47a2-8edc-38d3b1586b2c_9ad7f2d2-18aa-45e1-9798-8cf8c26ea2ac_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for melon,0.240606717,kg,1,kg
whole chicken breast,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
dessert topping,,,,,,
double-acting baking powder,,,,,,
mixed cheese,,,,,,
meatless spaghetti sauce,,,,,,
ground moose,,,,,,
sugar crystal,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
irish cream,,,,,,
chili,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
white bread flmy,,,,,,
white syrup,,,,,,
spicy tomato sauce,,,,,,
habanero,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
salted salmon,,,,,,
hot dog relish,,,,,,
catsup,,,,,,
smithfield ham,,,,,,
nicoise olife,,,,,,
sourdough breadcrumb,a5fc7f30-04ba-49c7-a292-394a21989a5c_dca5d4c8-0e53-4f11-9df5-418e30a0e49f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for breadcrumbs,1.100980617,kg,1,kg
canned vegetable,,,,,,
ground coffee,,,,,,
coarse sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
boiled potato,,,,,,
chili bean sauce,,,,,,
corn pops cereal,,,,,,
ground black pepper,,,,,,
black sambuca,,,,,,
key lime pie yogurt,,,,,,
chicken fat,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
tomato chutney,,,,,,
challah,,,,,,
tomato basil garlic seasoning,,,,,,
white raisin,,,,,,
lean ham,,,,,,
almond syrup,,,,,,
iodized salt,,,,,,
crowder pea,,,,,,
maple syrup,,,,,,
vodka,,,,,,
porterhouse steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
pilsner beer,,,,,,
fiber supplement,,,,,,
delmonte stewed tomato,,,,,,
minced meat,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
spike seasoning,,,,,,
pudding,,,,,,
cranberry-grape juice,,,,,,
cotto salami,,,,,,
cooked macaroni,,,,,,
lime marmalade,,,,,,
sweet brown rice,cf6e8d40-9765-40c3-82f6-cafce5d9f192_922db745-4df5-4b82-bbb6-98e81e4007d1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for rice, non-basmati",1.403095628,kg,1,kg
mayonnaise,,,,,,
condensed bean,,,,,,
cool whip lite,,,,,,
elderflower head,,,,,,
lean bacon,,,,,,
lamb bone,1cd0307c-4575-4e53-9299-a81c76f4eee9_2a80aed2-53c0-4eaa-bae1-829394a7cb32_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sheep for slaughtering, live weight",8.700476897,kg,1,kg
sourdough baguette,,,,,,
lamb gravy,,,,,,
southwest chipotle seasoning,,,,,,
white vinegar,08e53495-973a-4104-b50c-fa2501bcef73_e36aa595-9fc6-4eff-8f34-a9b11f460762_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for acetic acid, without water, in 98% solution state",2.216926378,kg,1,kg
cooked pastum,,,,,,
soup bone,,,,,,
raccoon,,,,,,
naan bread,,,,,,
tempeh,,,,,,
frozen dark sweet cherry,,,,,,
jell-o chocolate pudding and pie filling,,,,,,
sliced almond,,,,,,
currant juice,,,,,,
white sesame seed,de7968ed-3a7b-48e3-b3b4-705fc417bd4f_493461ac-622e-4fe6-81b9-c429f42982b7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sesame seed,2.801586996,kg,1,kg
puff pastry sheet,,,,,,
angelica,,,,,,
carrot juice,,,,,,
cumin,,,,,,
fresh sage leaf,,,,,,
tamarind pulp,,,,,,
mushroom gravy mix,,,,,,
stale bread,,,,,,
cinnamon extract,,,,,,
coco pops cereal,,,,,,
day-old french bread,,,,,,
almond paste,,,,,,
ocean perch fillet,,,,,,
ox tongue,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
cheese and salsa dip,,,,,,
winter melon,14da881e-bb74-47a2-8edc-38d3b1586b2c_9ad7f2d2-18aa-45e1-9798-8cf8c26ea2ac_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for melon,0.240606717,kg,1,kg
pastry shell,,,,,,
white chocolate baking bar,,,,,,
serrano chily,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
black cherry gelatin,,,,,,
herb stuffing,,,,,,
root beer concentrate,,,,,,
bittersweet chocolate,,,,,,
masoor dal,5f1ba7e7-d0da-4603-b0f9-244fe1eee88b_4783e92c-7b3b-5227-8270-18e215988fcc_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lentil,0.771483329,kg,1,kg
rosemary oil,,,,,,
multi-grain penne,,,,,,
dove breast,,,,,,
mushroom piece,,,,,,
ground chuck,,,,,,
pickerel fillet,,,,,,
ragu hearty robusto pasta sauce,,,,,,
key lime,8ce0855c-73a9-4474-8612-9ce0bfae1457_a00b7e35-1bc7-4b73-9df8-05f3dd07ffdb_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lime,0.024549857,kg,1,kg
frozen whole strawberry,,,,,,
plastic spoon,870c8542-a349-446f-824c-8c9d51eba176_66ca2f38-5e51-4546-83c0-d7cef0c55c7c_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for polypropylene, granulate",2.296367192,kg,1,kg
cinnamon raisin bread,,,,,,
potato stick,,,,,,
bourbon whiskey,,,,,,
pignoli nut,,,,,,
tahini,,,,,,
hollandaise mix,,,,,,
lemon peel,abbb1ebb-8443-4b7f-a40b-c56b357dd924_9891d347-28f8-434d-896a-84a19a4c68a6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lemon,0.319866608,kg,1,kg
orange juice concentrate,,,,,,
mung dal,5f1ba7e7-d0da-4603-b0f9-244fe1eee88b_4783e92c-7b3b-5227-8270-18e215988fcc_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lentil,0.771483329,kg,1,kg
black salt,6c34933e-aeb2-4360-a8ea-13bd85e9d0cb_93015ba0-863d-4535-be49-8a1b16b71782_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for salt,0.042563983,kg,1,kg
rotel diced tomato,,,,,,
canned tomato sauce,,,,,,
clementine,,,,,,
frozen lemon juice,,,,,,
lime segment,8ce0855c-73a9-4474-8612-9ce0bfae1457_a00b7e35-1bc7-4b73-9df8-05f3dd07ffdb_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lime,0.024549857,kg,1,kg
kasuri methi,,,,,,
spinach pastum,,,,,,
garlic pepper seasoning,,,,,,
whole wheat cereal,,,,,,
fresh rosemary leaf,,,,,,
chocolate chip cookie mix,,,,,,
chewing gum,,,,,,
hot pepper flake,,,,,,
steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
honey ham deli meat,,,,,,
mixed dried fruit,,,,,,
pastina,,,,,,
millet seed,bdfb5777-b59f-4d93-bfab-de6313378d55_df2b8e39-d691-4f6b-8c9c-4c7a737d0b0b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for millet,0.652581799,kg,1,kg
fresh mussel,,,,,,
frozen yogurt,,,,,,
orange dried cranberry,,,,,,
red seedless grape,cb3b1db1-ed6d-46c3-8aca-7732f1e35916_685944f8-452b-4ad4-a01a-863924792f27_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for grape,0.296887007,kg,1,kg
grape tomato,b72d9580-130e-4d3b-9392-ec67c00f4b35_34967617-78b9-4120-9fbc-b8bf2d3c115b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tomato, fresh grade",0.519773113,kg,1,kg
pineapple in syrup,,,,,,
multi-grain hot cereal,,,,,,
salted anchovy,,,,,,
sparkling apple cider,,,,,,
garbanzo flmy,,,,,,
catfish,,,,,,
sweet whole kernel corn,d28caba3-32e4-4896-8cef-38a45a6adb99_d86548c8-a433-44a0-91ba-073c2227b627_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sweet corn,0.276942777,kg,1,kg
bone-in pork roast,,,,,,
